cable_id,sld_schema,cbl_type,label,from,calc_lengt,splice_id,to,backhaul,sp1_type,sp1_label,sp2_type,sp2_label,stru_label,enc_type,placement,sc_type,coords_from,coords_to,reel_end
72,1;,96,GAL/A001/96F,NULL,880,1,GAL/A001,1,,NULL,,NULL,GAL/A/ENET/CH036,4,2,JOINT,POINT(532317.96 727056.91),POINT(531633.3 726584.34),2
25,1;1;,24,GAL/A002/24F,GAL/A001,160,2,GAL/A002,2,SP8A,GAL/A002/A113,,NULL,GAL/A/ENET/CH037,1,2,ODP1,POINT(531633.3 726584.34),POINT(531523.25 726545.8),2
20,1;1;1;,24,GAL/A003/24F,GAL/A002,14,3,GAL/A003,2,SP4A,GAL/A003/A113/1,,NULL,GAL/A/EIR/CH269,2,2,ODP2,POINT(531523.25 726545.8),POINT(531517.03 726539.45),2
22,1;1;1;1;,24,GAL/A007/24F,GAL/A003,44,7,GAL/A007,2,,NULL,,NULL,GAL/A/EIR/CH326,4,2,JOINT,POINT(531517.03 726539.45),POINT(531521.9 726567.8),2
21,1;1;1;1;1;,12,GAL/A005/12F,GAL/A007,76,5,GAL/A005,2,SP4A,GAL/A005/A113/2,,NULL,GAL/A/EIR/CH080,2,2,ODP2,POINT(531521.9 726567.8),POINT(531472.28 726618.97),2
24,1;1;1;1;2;,12,GAL/A006/12F,GAL/A007,244,6,GAL/A006,2,SP4A,GAL/A006/A113/3,,NULL,GAL/A/EIR/CH012,2,2,ODP2,POINT(531521.9 726567.8),POINT(531529.31 726513.12),2
23,1;1;1;1;3;,24,GAL/A004/24F,GAL/A007,20,4,GAL/A004,2,SP32B,GAL/A004/A207,,NULL,NULL,1,3,ODP1,POINT(531521.9 726567.8),POINT(531520.24 726579.75),2
23,1;1;1;1;3;,24,GAL/A004/24F,GAL/A007,20,273,GAL/A273,2,SP32B,GAL/A273/A114,,NULL,NULL,1,3,ODP1,POINT(531521.9 726567.8),POINT(531520.24 726579.75),2
26,1;2;,96,GAL/A008/96F,GAL/A001,2087,8,GAL/A008,1,SP4B,GAL/A008/A115,,NULL,GAL/A/ENET/CH043,1,2,ODP1,POINT(531633.3 726584.34),POINT(530347.55 725335.71),2
27,1;2;1;,12,GAL/A274/12F,GAL/A008,290,274,GAL/A274,2,,NULL,NULL,NULL,GAL/A/EIR/CH088,4,2,JOINT,POINT(530347.55 725335.71),POINT(530293.34 725130.38),2
270,1;2;1;1;,12,GAL/A010/12F,GAL/A274,35,10,GAL/A010,2,SP4A,GAL/A010/A115/2,,NULL,NULL,2,3,ODP2,POINT(530293.34 725130.38),POINT(530300.7 725106.6),2
28,1;2;1;2;,12,GAL/A009/12F,GAL/A274,172,9,GAL/A009,2,SP4A,GAL/A009/A115/1,,NULL,NULL,2,3,ODP2,POINT(530293.34 725130.38),POINT(530286.49 725005.78),2
73,1;2;1;3;,12,GAL/A011/12F,GAL/A274,1137,11,GAL/A011,2,SP4A,GAL/A011/A115/3,,NULL,GAL/A/EIR/CH288,2,2,ODP2,POINT(530293.34 725130.38),POINT(530651.82 724718.35),2
264,1;2;2;,96,GAL/A012/96F,GAL/A008,1586,12,GAL/A012,1,SP4B,GAL/A012/A116,,NULL,GAL/A/EIR/CH497,1,2,ODP1,POINT(530347.55 725335.71),POINT(529481.75 725106.27),1
271,1;2;2;1;,12,GAL/A014/12F,GAL/A012,177,14,GAL/A014,1,SP4A,GAL/A014/A116/2,,NULL,NULL,2,3,ODP2,POINT(529481.75 725106.27),POINT(529458.29 725267.39),2
29,1;2;2;2;,12,GAL/A013/12F,GAL/A012,1061,13,GAL/A013,2,SP4A,GAL/A013/A116/1,,NULL,GAL/A/EIR/CH014,2,2,ODP2,POINT(529481.75 725106.27),POINT(529366.33 724161.81),2
272,1;2;2;3;,96,GAL/A015/96F,GAL/A012,242,15,GAL/A015,1,,NULL,,NULL,GAL/A/EIR/CH215,4,2,JOINT,POINT(529481.75 725106.27),POINT(529484.66 725302.9),2
31,1;2;2;3;1;,12,GAL/A016/12F,GAL/A015,31,16,GAL/A016,2,SP32B,GAL/A016/A117,,NULL,NULL,1,3,ODP1,POINT(529484.66 725302.9),POINT(529494.23 725283.6),2
74,1;2;2;3;2;,96,GAL/A017/96F,GAL/A015,55,17,GAL/A017,1,SP8A,GAL/A017/A118,,NULL,GAL/A/EIR/CH107,1,2,ODP1,POINT(529484.66 725302.9),POINT(529488.25 725344.77),2
259,1;2;2;3;2;1;,12,GAL/A018/12F,GAL/A017,31,18,GAL/A018,2,SP4A,GAL/A018/A118/1,SP4A,GAL/A018/A118/6,NULL,2,3,ODP2,POINT(529488.25 725344.77),POINT(529475.64 725356.24),2
259,1;2;2;3;2;1;,12,GAL/A018/12F,GAL/A017,31,275,GAL/A275,2,SP4A,GAL/A275/A118/5,SP4A,GAL/A275/A118/7,NULL,2,3,ODP2,POINT(529488.25 725344.77),POINT(529475.64 725356.24),2
75,1;2;2;3;2;2;,96,GAL/A019/96F,GAL/A017,55,19,GAL/A019,1,SP4A,GAL/A019/A118/2,,NULL,GAL/A/EIR/CH490,2,2,ODP2,POINT(529488.25 725344.77),POINT(529530.83 725367.63),2
30,1;2;2;3;2;2;1;,12,GAL/A025/12F,GAL/A019,721,25,GAL/A025,2,SP4A,GAL/A025/A118/3,,NULL,GAL/A/EIR/CH155,2,2,ODP2,POINT(529530.83 725367.63),POINT(529933.33 725812.35),2
76,1;2;2;3;2;2;1;1;,12,GAL/A026/12F,GAL/A025,501,26,GAL/A026,2,SP4A,GAL/A026/A118/4,,NULL,NULL,2,3,ODP2,POINT(529933.33 725812.35),POINT(529824.15 726068.49),2
263,1;2;2;3;2;2;2;,96,GAL/A020/96F,GAL/A019,286,20,GAL/A020,1,SP4A,GAL/A020/A119/1,,NULL,GAL/A/EIR/CH485,2,2,ODP2,POINT(529530.83 725367.63),POINT(529453.19 725585.07),2
32,1;2;2;3;2;2;2;1;,96,GAL/A021/96F,GAL/A020,776,21,GAL/A021,1,SP4B,GAL/A021/A119,,NULL,GAL/A/EIR/CH211,1,2,ODP1,POINT(529453.19 725585.07),POINT(529037.39 726077.67),2
33,1;2;2;3;2;2;2;1;1;,12,GAL/A022/12F,GAL/A021,324,22,GAL/A022,2,SP8A,GAL/A022/A119/2,,NULL,GAL/A/EIR/CH255,2,2,ODP2,POINT(529037.39 726077.67),POINT(529243.75 726149.06),2
261,1;2;2;3;2;2;2;1;2;,96,GAL/A023/96F,GAL/A021,456,23,GAL/A023,1,,NULL,,NULL,GAL/A/EIR/CH379,4,2,JOINT,POINT(529037.39 726077.67),POINT(528651.79 726010.01),2
260,1;2;2;3;2;2;2;1;2;1;,12,GAL/A024/12F,GAL/A023,443,24,GAL/A024,2,SP8A,GAL/A024/A119/3,,NULL,GAL/A/EIR/CH263,2,3,ODP2,POINT(528651.79 726010.01),POINT(528380.38 725797.45),2
260,1;2;2;3;2;2;2;1;2;1;,12,GAL/A024/12F,GAL/A023,443,276,GAL/A276,2,SP4A,GAL/A276/A119/4,,NULL,GAL/A/EIR/CH263,2,3,ODP2,POINT(528651.79 726010.01),POINT(528380.38 725797.45),2
262,1;2;2;3;2;2;2;1;2;2;,96,GAL/A027/96F,GAL/A023,2134,27,GAL/A027,1,SP8A,GAL/A027/A120,,NULL,GAL/A/EIR/CH434,1,2,ODP1,POINT(528651.79 726010.01),POINT(526951.36 725723.99),1
244,1;2;2;3;2;2;2;1;2;2;1;,12,GAL/A030/12F,GAL/A027,188,30,GAL/A030,2,SP4A,GAL/A030/A120/3,,NULL,1435876,2,1,ODP2,POINT(526951.36 725723.99),POINT(526866.38 725873.67),2
248,1;2;2;3;2;2;2;1;2;2;1;1;,12,GAL/A029/12F,GAL/A030,228,29,GAL/A029,2,SP4A,GAL/A029/A120/2,,NULL,1668523,2,1,ODP2,POINT(526866.38 725873.67),POINT(526761.72 726054.42),2
