cable_id,sld_schema,cbl_type,label,from,calc_lengt,splice_id,to,backhaul,sp1_type,sp1_label,sp2_type,sp2_label,stru_label,enc_type,placement,sc_type,coords_from,coords_to,reel_end
1298,1;,96,TWV/B001/096F,TWV,934,1340,TWV/B001,1,,,,,TWV/B/NBI/CH001,4,2,JOINT,POINT(484006.31 614429.37),POINT(483639.25 614441.4),2
1251,1;1;,48,TWV/B002/048F,TWV/B001,1345,73,,1,,,,,TWV/B/ENT/CH308,,,SLACK,POINT(483639.25 614441.4),POINT(483319.6 614223.82),2
1251,1;1;1;,48,TWV/B002/048F,TWV/B001,1345,1341,TWV/B002,1,,,,,TWV/B/EIR/CH002,4,2,JOINT,POINT(483319.6 614223.82),POINT(483156.99 613907.61),2
1299,1;1;1;1;,24,TWV/B003/024F,TWV/B002,330,1315,TWV/B003,2,SP8A,TWV/B003/B125,,,TWV/B/EIR/CH003,1,2,ODP1,POINT(483156.99 613907.61),POINT(483185.46 613588.55),2
1300,1;1;1;1;1;,12,TWV/B004/012F,TWV/B003,402,1338,TWV/B004,2,SP4A,TWV/B004/B125/1,,,TWV/B/EIR/CH004,2,2,ODP2,POINT(483185.46 613588.55),POINT(482825.7 613565.75),2
1301,1;1;1;1;2;,12,TWV/B005/012F,TWV/B003,603,1375,TWV/B005,2,,,,,TWV/B/EIR/CH005,4,2,JOINT,POINT(483185.46 613588.55),POINT(483303.42 613005.32),2
1302,1;1;1;1;2;1;,12,TWV/B006/012F,TWV/B005,152,1922,TWV/B006,2,,,,,611127,4,1,JOINT,POINT(483303.42 613005.32),POINT(483205.67 612967.58),2
1955,1;1;1;1;2;1;1;,12,TWV/B007/012F,TWV/B006,376,1240,TWV/B007,2,SP4A,TWV/B007/B125/2,,,611129,2,1,ODP2,POINT(483205.67 612967.58),POINT(483065.7 612640.65),2
1303,1;1;1;1;2;2;,12,TWV/B008/012F,TWV/B005,439,1239,TWV/B008,2,SP4A,TWV/B008/B125/3,SP4A,TWV/B008/B125/4,TWV/B/EIR/CH008,2,2,ODP2,POINT(483303.42 613005.32),POINT(483666.43 612932.18),2
1304,1;1;1;2;,48,TWV/B009/048F,TWV/B002,1934,87,,1,,,,,TWV/B/EIR/CH455,,,SLACK,POINT(483156.99 613907.61),POINT(482699.46 613893.16),2
1304,1;1;1;2;1;,48,TWV/B009/048F,TWV/B002,1934,88,,1,,,,,TWV/B/EIR/CH317,,,SLACK,POINT(482699.46 613893.16),POINT(482332.21 613658.45),2
1304,1;1;1;2;1;1;,48,TWV/B009/048F,TWV/B002,1934,89,,1,,,,,TWV/B/EIR/CH327,,,SLACK,POINT(482332.21 613658.45),POINT(481991.65 613361.3),2
1304,1;1;1;2;1;1;1;,48,TWV/B009/048F,TWV/B002,1934,1314,TWV/B009,1,SP8A,TWV/B009/B126,,,TWV/B/EIR/CH009,1,2,ODP1,POINT(481991.65 613361.3),POINT(481542.46 613242.91),2
1306,1;1;1;2;1;1;1;1;,24,TWV/B010/024F,TWV/B009,106,1927,TWV/B010,2,,,,,TWV/B/EIR/CH010,4,2,JOINT,POINT(481542.46 613242.91),POINT(481533.22 613312.21),2
